Provincias;Edad (grupos quinquenales);Sexo;Españoles/Extranjeros;Año;Total
03  Alicante/Alacant;95-99 años;Mujeres;TOTAL;2020;2.248
03  Alicante/Alacant;100 años y más;Hombres;TOTAL;2020;143
03  Alicante/Alacant;100 años y más;Mujeres;TOTAL;2020;392
04  Almería;0-4 años;Hombres;TOTAL;2020;19.673
04  Almería;0-4 años;Mujeres;TOTAL;2020;18.662
04  Almería;5-9 años;Hombres;TOTAL;2020;21.272
04  Almería;5-9 años;Mujeres;TOTAL;2020;20.021
04  Almería;10-14 años;Hombres;TOTAL;2020;21.861
04  Almería;10-14 años;Mujeres;TOTAL;2020;20.969
04  Almería;15-19 años;Hombres;TOTAL;2020;20.113
04  Almería;15-19 años;Mujeres;TOTAL;2020;18.737
04  Almería;20-24 años;Hombres;TOTAL;2020;21.782
04  Almería;20-24 años;Mujeres;TOTAL;2020;18.800
04  Almería;25-29 años;Hombres;TOTAL;2020;24.441
04  Almería;25-29 años;Mujeres;TOTAL;2020;20.984
04  Almería;30-34 años;Hombres;TOTAL;2020;26.923
04  Almería;30-34 años;Mujeres;TOTAL;2020;23.713
04  Almería;35-39 años;Hombres;TOTAL;2020;30.952
04  Almería;35-39 años;Mujeres;TOTAL;2020;27.615
04  Almería;40-44 años;Hombres;TOTAL;2020;34.231
04  Almería;40-44 años;Mujeres;TOTAL;2020;29.926
04  Almería;45-49 años;Hombres;TOTAL;2020;30.092
04  Almería;45-49 años;Mujeres;TOTAL;2020;27.531
04  Almería;50-54 años;Hombres;TOTAL;2020;27.282
04  Almería;50-54 años;Mujeres;TOTAL;2020;26.187
04  Almería;55-59 años;Hombres;TOTAL;2020;23.778
04  Almería;55-59 años;Mujeres;TOTAL;2020;23.531
04  Almería;60-64 años;Hombres;TOTAL;2020;20.054
04  Almería;60-64 años;Mujeres;TOTAL;2020;20.134
04  Almería;65-69 años;Hombres;TOTAL;2020;15.914
04  Almería;65-69 años;Mujeres;TOTAL;2020;16.468
04  Almería;70-74 años;Hombres;TOTAL;2020;13.129
04  Almería;70-74 años;Mujeres;TOTAL;2020;14.624
04  Almería;75-79 años;Hombres;TOTAL;2020;9.050
04  Almería;75-79 años;Mujeres;TOTAL;2020;10.730
04  Almería;80-84 años;Hombres;TOTAL;2020;5.716
04  Almería;80-84 años;Mujeres;TOTAL;2020;8.259
04  Almería;85-89 años;Hombres;TOTAL;2020;3.690
04  Almería;85-89 años;Mujeres;TOTAL;2020;6.131
04  Almería;90-94 años;Hombres;TOTAL;2020;1.290
04  Almería;90-94 años;Mujeres;TOTAL;2020;2.635
04  Almería;95-99 años;Hombres;TOTAL;2020;255
04  Almería;95-99 años;Mujeres;TOTAL;2020;597
04  Almería;100 años y más;Hombres;TOTAL;2020;60
04  Almería;100 años y más;Mujeres;TOTAL;2020;133
01  Araba/Álava;0-4 años;Hombres;TOTAL;2020;7.591
01  Araba/Álava;0-4 años;Mujeres;TOTAL;2020;7.261
01  Araba/Álava;5-9 años;Hombres;TOTAL;2020;9.061
01  Araba/Álava;5-9 años;Mujeres;TOTAL;2020;8.377
01  Araba/Álava;10-14 años;Hombres;TOTAL;2020;8.616
01  Araba/Álava;10-14 años;Mujeres;TOTAL;2020;8.079
01  Araba/Álava;15-19 años;Hombres;TOTAL;2020;8.092
01  Araba/Álava;15-19 años;Mujeres;TOTAL;2020;7.409
01  Araba/Álava;20-24 años;Hombres;TOTAL;2020;7.362
01  Araba/Álava;20-24 años;Mujeres;TOTAL;2020;7.112
01  Araba/Álava;25-29 años;Hombres;TOTAL;2020;7.683
01  Araba/Álava;25-29 años;Mujeres;TOTAL;2020;7.535
01  Araba/Álava;30-34 años;Hombres;TOTAL;2020;9.082
01  Araba/Álava;30-34 años;Mujeres;TOTAL;2020;9.142
01  Araba/Álava;35-39 años;Hombres;TOTAL;2020;11.630
